LIBRARY_SYSTEM,LOCATION,BRANCH_UNIQUE_ID,SCHOOL_DISTRICT_SERVED,PHONE,PHYSICAL_ADDRESS,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,MTLS_OUTLET,MTLS_CIRC_B,CIRC_CHILD_MTLS_B,REF_TRANS_B,VISITS_B,AD_INLIB_PGMS_B ,AD_OUT_PGMS_B ,ADULT_ATTEND_B ,CH_INLIB_PGMS_B ,CH_OUT_PGMS_B ,CHILD_ATTEND_B ,YA_INLIB_PGMS_B ,YA_OUT_PGMS_B ,YA_ATTEND_B ,ESL_INLIB_PGMS_B ,ESL_OUT_PGMS_B ,ESL_ATTEND_B ,LIBRARIAN_HRS_B ,LIB_TECH_HRS_B ,COMM_LIB_HRS_B ,OTH_HRS_B ,branch_copiers ,LEED_CERT_B ,SHRD_FAC ,FLOORSPACE ,HRS_OPEN ,DAYS_OPEN 
Lillooet Area Public Library,Lillooet Public Library,BLP003,74,(250) 259-8242,Recreational Centre - 930 Main Street,Lillooet,BC,V0K 1V0,50.689633,-121.9360409,"4,741",820,,,344,,,,,19,90,,,,,,,0,0,0,388,1,No,No,56,399,99
Mackenzie Public Library,Mackenzie Public Library,BMK001,74,(250) 238-2521,400 Skeena Drive,Mackenzie,BC,V0J 2C0,55.338469,-123.091202,"4,965",955,,,"1,581",16,,22,12,,54,,,,,,,0,0,686,,1,No,Yes,51,531,154
McBride & District Public Library,Lena Schultz Reading Room,BMB001,74,(250) 256-7944,13741 Dome Creek Road,Dome Creek,BC,V0J 1H0,53.74763954,-121.0207683,"16,820","22,715",,,"14,026",3,3,56,11,75,"1,264",42,,971,1,,420,0,0,"3,823","2,822",1,No,Yes,315,"1,576",259
McBride & District Public Library,McBride & District Public Library,BMB002,57,(250) 997-6343,521 Main Street,McBride,BC,V0J 2E0,53.302879,-120.163553,23533,17210,5413,1300,28477,25,4,265,225,16,2102,1,0,10,20,0,50,1695,910,1675,2000,1,No,Yes,582,2284,276
Midway Public Library,Midway Public Library,BM001,57,250-553-2388,612 - 6th Avenue,Midway,BC,V0H 1M0,49.00635565,-118.7765932,"1,250",185,2,104,572,4,2,73,48,0,135,0,0,0,0,0,0,,,,638,1,No,Yes,22.3,255,102
Nakusp Public Library,Nakusp Public Library,BNA001,57,(250) 569-2411,92 - 6th Avenue NW,Nakusp,BC,V0G 1R0,50.24021181,-117.8055214,"16,119","21,000","5,458","2,340","18,876",134,30,"1,733",73,17,"1,057",6,4,166,0,0,0,"1,820",,"1,074","1,850",2,No,Yes,465,"1,661",251
Nelson Municipal Library,Nelson Municipal Library,BNE001,51,(250) 449-2620,602 Stanley Street,Nelson,BC,V1L 1N4,49.49039703,-117.2948882,12777,9604,1832,5823,,3,0,45,3,1,24,0,0,,0,0,0,0,0,0,2300,2,No,Yes,322,1250,200
New Westminster Public Library,New Westminster Main Branch,BNW001,10,(250) 265-3363,716 - 6th Avenue,New Westminster,BC,V3M 2B3,49.21168212,-122.92235,24183,28530,7531,1300,13000,34,2,318,61,0,798,0,0,0,2,0,2,398,0,265,2567,1,No,Yes,279,1300,298
New Westminster Public Library,Queensborough Branch,BNW002,8,(250) 352-6333,920 Ewan Ave,New Westminster,BC,V3M 5C8,49.18586768,-122.9434505,43172,180202,81849,17550,146500,29,40,1320,209,18,5928,48,16,925,6,0,53,4270,8788,1456,4004,1,No,No,1237,2500,301
North Vancouver City Library,North Vancouver City Library,BNV001,8,(250) 352-6333,120 West 14th Street,North Vancouver,BC,V7M 1N9,49.32119304,-123.0735895,43172,180202,81849,17550,146500,29,40,1320,209,18,5928,48,16,925,6,0,53,4270,8788,1456,4004,1,No,No,1237,2500,301
North Vancouver District Public Library,Capilano Branch,BNVD001,40,(604) 527-4660,3045 Highland Boulevard,North Vancouver,BC,V7R 2X4,49.33742714,-123.1029852,"153,386","515,041","185,964","34,376","250,893",21,99,"1,614",66,89,"4,938",13,16,481,0,93,"1,323","19,244",,,"32,147",3,,,"3,800.00","3,409",343
North Vancouver District Public Library,Lynn Valley Main Branch,BNVD002,40,604-636-4450,1277 Lynn Valley Road,North Vancouver,BC,V7J 2A1,49.3370647,-123.0394047,"14,663","55,494","36,883","6,568","93,342",26,,26,73,14,"1,986",9,,69,0,0,0,126,,,"3,877",1,,,222,"2,200",302
North Vancouver District Public Library,Parkgate Branch,BNVD003,44,(604) 998-3450,3675 Banff Court,North Vancouver,BC,V7H 2Z8,49.31801706,-122.9698931,139059,443411,203695,39204,479382,203,28,6369,351,144,20167,328,25,7440,83,,1854,19290,8372,14560,24206,4,Yes,No,3345,3588,344
Okanagan Regional Library District,Armstrong Branch,BKO002,44,(604) 987-4471,10 - 3305 Smith Dr.,Armstrong,BC,V0E 1B1,50.44622115,-119.185014,"77,186","353,985","149,217","36,781","206,225",89,7,"1,404",226,49,"8,735",4,0,13,4,0,72,"6,311","1,765",,"14,838",2,Yes,No,"1,114.80","3,249",332
Okanagan Regional Library District,Cherryville Branch,BKO003,44,(604) 984-0286,1114 Hwy. 6,Cherryville,BC,V0E 2G3,50.2434706,-118.6497219,"109,797","600,263","257,778","51,602","455,886",111,107,"2,638",284,40,,13,18,617,64,0,429,"28,201","9,839",,"32,751",5,Yes,No,"3,716.10","3,504",334
Okanagan Regional Library District,Enderby Branch,BKO004,44,(604) 929-3727,514 Cliff Avenue,Enderby,BC,V0E 1V0,50.550263,-119.13802,"79,224","341,615","137,490","17,365","202,163",209,,"1,890",187,94,"7,574",7,0,34,23,0,190,"6,650","1,533",,"15,218",2,No,No,"1,393.50","3,264",332
Okanagan Regional Library District,Falkland Branch,BKO005,83,(250) 546-8311,5771 Hwy 97,Falkland,BC,V0E 1W0,50.50018202,-119.5601389,"21,635","97,816","34,116","6,450","48,506",156,2,"2,061",76,30,"1,902",0,0,0,0,0,0,,,"1,662","2,602",1,No,Yes,362.22,"1,750",250
Okanagan Regional Library District,Golden Branch,BKO006,22,(250) 547-9776,819 Park Avenue,Golden,BC,V0A 1H0,51.29728429,-116.9652887,"2,350","10,627","4,090","1,000","4,843",22,1,161,5,0,121,0,0,0,0,0,0,,,488,57,0,No,Yes,68.28,400,100
Okanagan Regional Library District,Hedley Branch,BKO007,83,(250) 838-6488,789 Scott Avenue ,Hedley,BC,V0X 1K0,49.35689372,-120.0761633,"16,515","74,671","17,354","4,400","42,589",44,10,"2,221",41,2,"1,482",0,0,0,0,0,0,,,22,749,1,No,No,371.61,"1,500",200
Okanagan Regional Library District,Kaleden Branch,BKO008,83,(250) 379-2705,101 Linden Avenue,Kaleden,BC,V0H 1K0,49.38993494,-119.5954107,"3,401","15,378","4,647","3,650","8,203",28,1,257,23,2,307,0,0,0,0,0,0,,,"1,353",49,0,No,Yes,92.9,750,150
Okanagan Regional Library District,Kelowna Branch,BKO009,6,(250) 344-6516,1380 Ellis Street,Kelowna,BC,V1Y 2A2,49.88960569,-119.4940003,"11,495","51,974","15,721","4,400","29,740",55,2,424,57,2,832,0,0,0,0,0,0,,,"1,690","1,977",1,No,Yes,390.19,"1,550",200
Okanagan Regional Library District,Keremeos Branch,BKO010,53,(250) 292-8209,638 - 7th Ave,Keremeos,BC,V0X 1N0,49.20541354,-119.8232526,"1,561","7,056","1,698","1,350","3,895",1,0,14,46,0,143,0,0,0,0,0,0,,,146,,0,No,Yes,0,250,50
Okanagan Regional Library District,Lake Country Branch,BKO011,67,(250) 497-8066,2-10150 Bottom Wood Lake Road,Lake Country,BC,V4V 2M1,50.030339,-119.40189,"4,218","19,069","7,451","5,700","10,445",1,10,122,59,16,"1,670",1,0,2,0,0,0,,,"1,194",238,0,No,Yes,107.3,750,150
Okanagan Regional Library District,Lumby Branch,BKO012,23,(250) 762-2800,2250 Shields Avenue,Lumby,BC,V0E 2G0,50.25154447,-118.9625485,"61,727","279,087","104,759","37,600","239,253",866,17,"11,758",410,8,"21,013",15,0,121,55,0,567,"7,521",,243,"23,666",1,No,No,"3,534.40","2,850",324
Okanagan Regional Library District,Mission Branch,BKO013,53,(250) 499-2313,4105 Gordon Dr.,Kelowna,BC,V1W 4Z1,49.83586148,-119.4799179,"7,338","33,175","5,556","3,500","25,268",22,2,356,42,13,704,0,0,0,46,0,214,,,"1,932",936,1,No,Yes,207.45,"1,000",200
Okanagan Regional Library District,Naramata Branch,BKO014,23,(250) 766-3141,3580 Third Street,Naramata,BC,V0H 1N0,49.59676746,-119.6000207,"22,642","102,370","44,120","8,300","44,186",24,1,282,132,5,"6,066",1,0,7,0,0,0,,,"2,128","5,686",1,No,Yes,529.55,"2,000",250
Okanagan Regional Library District,North Shuswap Branch,BKO015,22,(250) 547-9528,3867 Squilax Anglemont Road,Scotch Creek,BC,V0E 1M5,50.91279716,-119.45775,"8,312","37,580","11,938","6,750","19,821",51,13,278,72,4,"1,634",3,0,0,0,0,0,,,"1,967","1,561",1,No,Yes,146.6,"1,250",250
Okanagan Regional Library District,Okanagan Falls Branch,BKO016,23,(250) 764-2254,101 - 850 Railway Lane,Okanagan Falls,BC,V0H 1R0,49.34557942,-119.57855,"66,351","299,991","134,458","21,700","148,788",62,0,396,148,2,"8,255",5,0,92,0,0,0,"1,226",,851,"13,258",1,No,Yes,817.55,"2,750",348
Okanagan Regional Library District,Oliver Branch,BKO017,67,(250) 496-5679,6239 Station Street ,Oliver,BC,V0H 1T0,49.183,-119.549147,"2,834","12,815","4,427","2,450","11,696",73,2,777,30,0,687,0,0,0,0,0,0,,,"1,122",131,0,No,Yes,160.91,650,150
Okanagan Regional Library District,Osoyoos Branch,BKO018,83,(250) 955-8198,8505 68th Avenue,Osoyoos,BC,V0H 1V0,49.029649,-119.465142,"3,194","14,441","2,420","1,600","10,880",20,0,92,17,1,333,0,0,0,0,0,0,,,"1,566",102,0,No,Yes,144.93,"1,000",200
Okanagan Regional Library District,Oyama Branch,BKO019,53,(250) 497-5886,15718 Oyama Road,Oyama,BC,V4V 2E1,50.10933235,-119.3750394,"6,386","28,871","9,334","6,300","16,399",58,0,404,46,29,"1,951",0,0,0,0,0,0,,,"1,353",863,0,No,Yes,234.95,"1,250",200
Okanagan Regional Library District,Peachland Branch,BKO020,53,(250) 498-2242,40 - 5500 Clements Crescent,Peachland,BC,V0H 1X5,49.78469219,-119.7160547,"17,284","78,148","19,027","6,000","48,034",46,2,442,178,12,"3,963",0,0,0,23,0,90,,,"1,804","2,775",1,No,Yes,492.39,"1,750",250
Okanagan Regional Library District,Princeton Branch,BKO021,,,107 Vermillion Avenue,Princeton,BC,V0X 1W0,49.46009322,-120.5084706,"3,470","15,688",,,,,,,,,,,,,,,,"5,945","1,806",,"60,059",6,No,No,"2,601.00","1,944",243
Okanagan Regional Library District,Revelstoke Branch,BKO022,53,(250) 495-7637,605 Campbell Avenue,Revelstoke,BC,V0E 2S0,50.997035,-118.200319,"14,531","65,701","15,980","12,300","44,348",38,14,622,150,26,"3,921",0,0,0,11,0,75,,,"1,971","4,374",1,No,Yes,298.5,"1,500",250
Okanagan Regional Library District,Rutland Branch,BKO023,23,(250) 548-3377,20 - 301 Hwy. 33 W,Kelowna,BC,V1X 1X8,49.88846667,-119.3904026,"1,426","6,446","3,400","1,300","4,558",6,0,37,26,1,"1,046",0,0,0,0,0,0,,,297,305,0,No,Yes,57.14,400,100
Okanagan Regional Library District,Salmon Arm Branch,BKO024,23,(250) 767-9111,1151 - 10th Avenue SW,Salmon Arm,BC,V1E 1T3,50.69445192,-119.2985284,"8,316","37,601","12,165","7,100","28,465",134,0,"1,214",98,24,"2,347",0,0,0,0,0,0,,,"1,625","1,962",1,No,Yes,274.06,"1,450",250
Okanagan Regional Library District,Sicamous Branch,BKO025,58,(250) 295-6495,#2 - 446 Main Street ,Sicamous,BC,V0E 2V0,50.83676231,-118.9826495,"7,078","32,003","6,551","6,550","28,789",58,8,"2,299",24,0,417,1,0,12,0,0,0,,,"1,104","1,040",0,No,Yes,208.01,"1,000",204
Okanagan Regional Library District,Silver Creek Branch,BKO026,19,(250) 837-5095,921 Salmon River Road,Salmon Arm,BC,V1E 3G3,50.59205592,-119.3641664,"18,371","83,059","43,885","4,600","68,895",153,1,716,169,2,"3,657",26,0,205,0,0,0,,,"1,898","2,391",1,No,Yes,318.66,"1,750",250
Okanagan Regional Library District,South Shuswap Branch,BKO027,23,(250) 765-8165,2676 Fairway Hills Rd  Unit 1,Blind Bay,BC,V0E 1H2,50.87137657,-119.3835834,"48,649","219,954","87,971","11,300","130,364",58,7,906,165,17,"7,687",14,0,164,12,0,55,866,,"1,251","11,617",1,No,Yes,596.81,"2,400",300
Okanagan Regional Library District,Summerland Branch,BKO028,83,(250) 832-6161,9525 Wharton Street,Summerland,BC,V0H 1Z0,49.60119716,-119.6801358,"50,937","230,302","74,170","31,450","138,949",114,0,839,137,72,"10,210",0,0,0,0,0,0,"3,814",,14,"8,527",1,No,Yes,839.56,"2,400",300
Okanagan Regional Library District,UBC Okanagan Branch,BKO032,83,(250) 836-4845,LIB 125 - 3287 University Way,Kelowna,BC,V1V1V7,49.940058,-119.395682,"7,979","36,077","8,391","1,600","21,658",80,8,"1,611",90,10,"1,889",0,0,0,0,0,0,,,"1,263","2,150",0,No,Yes,239.41,"1,250",200
Okanagan Regional Library District,Vernon Branch,BKO029,83,(250) 832-4719,3001 - 32nd Avenue,Vernon,BC,V1T 2L8,50.26346679,-119.2681841,"2,202","9,957","3,192","2,700","6,507",44,0,239,42,0,678,0,0,0,0,0,0,,,703,20,0,No,Yes,85.56,400,100
Okanagan Regional Library District,Westbank Branch,BKO030,83,(250) 675-4818 ,2484 Highway 97 S,West Kelowna,BC,V4T 2G2,49.83101485,-119.6299208,"11,584","52,374","15,975","7,300","33,956",72,3,"1,770",97,5,"3,159",0,0,0,0,0,0,,,"1,622","2,711",0,No,Yes,317.73,"1,700",250
Okanagan Regional Library District,Westside Learning Lab,BKO031,67,(250) 494-5591,#216 - 525 Hwy 97 S,West Kelowna,BC,V1Z 4C9,49.878683,-119.536123,"28,484","128,784","39,626","14,200","67,470",58,1,928,129,36,"3,540",1,0,103,2,0,18,,,,,1,No,Yes,315.87,"2,000",250
Pemberton & District Public Library,Pemberton & District Public Library,BPE001,22,(250) 542-7610,7390 Cottonwood Street,Pemberton,BC,V0N 2L0,50.31883381,-122.8005455,"108,412","490,163","178,402","33,150","229,703",636,8,"8,353",220,58,"8,712",1,0,0,0,0,0,788,,362,"24,410",2,No,No,"2,787.00","2,875",324
Pender Island Public Library,Galiano Island Community Library,BPI001,23,250-768-4369,2540 Sturdies Bay Road,Galiano Island,BC,V0N 1P0,48.88571211,-123.3352287,"49,789","225,109","85,394","17,150","106,642",178,3,"1,216",184,9,"5,891",3,0,24,0,0,0,424,,735,"11,131",1,No,Yes,929,"2,450",300
Pender Island Public Library,Mayne Island Reading Centre Society,BPI002,48,(604) 894-6916,411 Naylor Road,Mayne Island,BC,V0N 2J2,48.85050627,-123.2993943,18394,78985,33484,9750,88178,139,6,1259,215,7,3499,0,6,183,12,0,43,1976,0,3197,2464,1,,,375,2400,346
Pender Island Public Library,Pender Island Public Library,BPI003,64,(250) 539-2141 ,4407 Bedwell Harbour Road,Pender Island,BC,V0N 2M0,48.79860058,-123.2824514,"12,791","12,724","2,126","2,142","9,486",84,1,664,4,5,210,2,0,20,0,0,0,0,0,0,240,0,No,No,241.55,765,204
Pender Island Public Library,Piers Island Library,BPI004,64,(250) 539-2597,c/o Box 2223,Sidney,BC,V8L 3S8,48.70780271,-123.4189482,"8,000","9,279","3,086","3,315","5,457",56,4,376,33,2,363,0,0,0,0,0,0,0,0,0,0,0,No,No,135.6,612,153
Pender Island Public Library,Saturna Branch Library,BPI005,64,(250) 629-3722,140 East Point Road,Saturna Island,BC,V0N 2Y0,48.79439924,-123.1895628,"17,768","26,887","7,296","3,264","19,380",112,0,"2,073",62,0,614,0,0,0,0,0,0,0,0,"1,645",856,0,No,No,316.2,"1,226",206
Penticton Public Library,Penticton Public Library,BP001,64,n/a,785 Main Street,Penticton,BC,V2A 5E3,49.491202,-119.588557,"1,048",325,55,51,"1,428",2,0,28,1,0,3,0,0,0,0,0,0,0,0,0,0,0,No,Yes,9.3,104,51
Port Moody Public Library,Port Moody Public Library,BPMP001,64,(250) 539-5312,100 Newport Drive,Port Moody,BC,V3H 3E1,49.28260969,-122.8298572,"6,109","4,326",276,"1,173","2,091",0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,No,Yes,86.5,459,102
Pouce Coupe Public Library,Pouce Coupe Public Library,BPOC001,67,(250) 770-7787,5010 - 52nd Avenue,Pouce Coupe,BC,V0C 2C0,55.71832209,-120.1318219,100714,248012,99720,29257,222423,70,0,1738,241,43,6126,31,0,180,2,1,28,9166,8592,,9467,2,No,Yes,1242,2586,319
Powell River Public Library,Powell River Public Library,BPRDP001,43,(604) 469-4575,4411 Michigan Avenue,Powell River,BC,V8A 2S3,49.84586785,-124.5220301,84484,579564,364603,19995,320378,279,15,5351,278,98,24416,11,7,427,57,0,1370,14975,3287,0,13879,2,No,No,1161,3542,345
Prince George Public Library,Bob Harkins Library,BPG001,59,(250) 786-5765,887 Dominion Street,Prince George,BC,V2L 5L1,53.91231962,-122.7487642,27610,2774,1914,1550,152,2,1,314,3,0,169,2,0,242,0,0,0,0,0,2020,902,2,No,Yes,126,1850,297
Prince George Public Library,Nechako Branch,BPG002,47,(604) 485-4796,6547 Hart Highway,Prince George,BC,V2K 3A4,53.98843412,-122.7870732,52517,173969,43673,13700,148017,110,113,3570,157,16,3473,89,9,1083,1,0,20,3570,1832,364,16218,2,No,Yes,1619.3,2910,348
Prince Rupert Library,Prince Rupert Library,BPR001,57,(250) 563-9251,101-6th Avenue West,Prince Rupert,BC,V8J 1Y9,54.31290779,-130.3178105,"138,579","525,977","167,106","57,695","244,059",318,131,"7,611",427,30,"12,509",145,6,"1,611",2,0,8,"15,253","1,950","1,950","54,458",3,No,No,"3,412.00","3,071",331
Radium Hot Springs Public Library,Radium Hot Springs Public Library,BRHP001,57,(250) 962-9710,Unit #2  Radium Plaza Main Street West,Radium Hot Springs,BC,V0A 1M0,50.61854281,-116.0729075,"25,748","90,622","32,705","10,400","65,086",24,0,137,96,0,"1,038",1,0,6,0,0,0,0,0,0,"8,608",1,No,Yes,426,"2,577",288
Richmond Public Library,Brighouse (Main) Branch,BRI001,52,(250) 624-1345,100 - 7700 Minoru Gate,Richmond,BC,V6Y 1R8,49.16423552,-123.1414342,65843,51264,15266,1591,54407,153,0,1211,194,0,1697,0,0,0,23,0,60,3640,2500,0,13100,2,No,No,1290,2649,326
Richmond Public Library,Cambie Branch,BRI002,6,(250) 347-2434,150 - 11590 Cambie Road,Richmond,BC,V6X 3Z5,49.18378123,-123.0947413,7100,3165,1254,1700,3400,4,0,54,5,0,165,0,0,0,0,0,0,0,0,1720,0,1,No,Yes,1055,1011,211
Richmond Public Library,Hamilton Community Centre,BRI005,38,(604) 231-6422,5140 Smith Drive,Richmond,BC,V6V 2W5,49.175932,-122.965399,"250,962","1,472,944","841,828","80,882","969,186","1,388",112,"31,070",909,54,"47,655",147,16,"2,006",112,1,"1,821","39,738","5,772",0,"96,610",4,No,No,"4,584.95","3,811",352
Richmond Public Library,Ironwood Branch,BRI003,38,(604) 273-2223,11688 Steveston Hwy,Richmond,BC,V7A 1N6,49.13193635,-123.0929562,"35,488","177,077","103,360","7,354","102,100",74,0,624,253,0,"3,903",5,0,34,0,0,0,0,"3,647",0,"7,394",2,No,No,437.76,"3,413",351
Richmond Public Library,Steveston Branch,BRI004,38,(604) 231-6468,4111 Moncton Street,Richmond,BC,V7E 3A8,49.12554096,-123.1787262,"44,129","239,061","132,910","11,563","167,569",15,0,116,305,0,"5,287",0,0,0,2,0,5,0,"2,198",0,"8,230",2,No,No,"1,093.93","3,652",351
Rossland Public Library Association,Rossland Public Library Association,BR001,38,(604) 274-2012,2180 Columbia Avenue,Rossland,BC,V0G 1Y0,49.07713324,-117.7974651,"45,747","307,309","178,824","18,803","206,295",83,0,"1,164",435,0,"16,350",0,0,0,0,0,0,0,"3,639",0,"7,095",2,No,No,364.09,"3,433",351
Salmo Public Library,Salmo Public Library,BSA001,20,(250) 362-7611,106 - 4th Street,Salmo,BC,V0G 1Z0,49.19461332,-117.2789707,15107,31445,13103,,35389,16,0,245,67,17,1667,0,0,0,0,0,0,0,0,2503,2466,1,No,No,321,1536,133
Salt Spring Island Public Library,Salt Spring Island Public Library,BGSI001,8,(250) 357-2312,129 McPhillips Avenue,Salt Spring Island,BC,V8K 2T6,48.85239764,-123.5015602,19505,21727,5850,3692,25682,90,27,1517,88,21,1649,5,2,45,0,0,0,0,1456,1300,572,2,No,Yes,410,1400,260
Sechelt Public Library,Sechelt Public Library,BSE001,64,(250) 537-4666,5797 Cowrie Street,Sechelt,BC,V0N 3A0,49.47213899,-123.7631326,66300,162422,51735,32188,213750,466,24,7556,161,35,5190,90,2,2284,0,0,0,3730,1192,0,3575,1,No,Yes,1160,2104,300
Smithers Public Library,Smithers Public Library,BS001,46,(604) 885-3260,3817 Alfred Avenue,Smithers,BC,V0J 2N0,54.77853172,-127.175209,47534,155115,43426,22150,114050,147,0,2559,34,0,468,5,0,17,0,0,0,2016,3465,0,8951,2,No,Yes,517.4,2250,309
Sparwood Public Library,Sparwood Public Library,BSPA001,54,(250) 847-3043,110 Pine Ave,Sparwood,BC,V0B 2G0,49.73418006,-114.8821618,34504,85999,42997,4140,74860,81,17,3925,153,13,7624,23,0,270,0,0,0,902,1750,766,4485,2,No,No,1280,2057,287
Squamish Public Library,Squamish Public Library,BSQ001,5,(250) 425-2299,37907 - 2nd Avenue,Squamish,BC,V8B 0A7,49.69754269,-123.1563179,25105,20641,5201,115,17000,2,,268,3,1,933,3,,523,,,,,,2300,3500,,No,No,433,2200,
Stewart Public Library,Stewart Public Library,BSP001,48,(604) 892-3110,824 A Main Street,Stewart,BC,V0T 1W0,55.9357944,-129.9942544,50727,175945,84782,7430,151466,48,31,2136,399,31,11420,40,0,371,0,0,,2611,0,5287,14624,3,No,No,1045,2800,350
Surrey Public Library,City Centre Branch,BSUR001,82,(250) 636-2380,10350 University Drive,Surrey,BC,V3T 4B8,49.19045567,-122.8494277,18062,2359,938,1550,4507,2,0,116,3,2,348,0,0,60,0,0,0,0,1481,0,455,1,No,Yes,125.5,980,300
Surrey Public Library,Cloverdale Branch,BSUR002,36,(604) 598-7420 ,5642 - 176A Street,Surrey,BC,V3S 4G9,49.10483931,-122.7332399,"140,423","412,329","235,819","96,434","599,573",232,92,"6,156",525,78,"31,047",109,6,"2,672",47,2,813,"26,068","15,483",,"39,707",9,Yes,No,"7,153.50","3,548",346
Surrey Public Library,Fleetwood Branch,BSUR003,36,(604) 598-7320,15996 - 84th Avenue,Surrey,BC,V4N 0W1,49.1552299,-122.7796823,"59,029","348,116","206,020","39,939","161,070",131,28,"1,537",253,76,"16,223",22,4,698,0,0,0,"6,822","4,186",,"10,728",2,No,No,"1,022.00","3,422",346
Surrey Public Library,Guildford Branch,BSUR004,36,(604) 598-7340,15105 - 105th Avenue,Surrey,BC,V3R 7G8,49.19349929,-122.8033476,"78,709","416,160","292,744","51,532","257,985",71,10,"1,776",637,42,"23,889",45,28,"2,805",21,0,247,"6,652","3,419",,"12,034",2,No,Yes,"1,236.00","3,422",346
Surrey Public Library,Newton Branch,BSUR005,36,604) 598-7360,13795 - 70th Avenue,Surrey,BC,V3W 0E1,49.13032493,-122.8396773,"142,267","705,634","456,705","79,924","504,166",356,6,"6,319",542,95,"44,157",89,14,"2,599",72,10,863,"16,264","20,427",,"34,876",5,No,Yes,"2,899.00","3,422",346
Surrey Public Library,Ocean Park Branch,BSUR006,36,(604) 598-7400,12854 - 17th Avenue,Surrey,BC,V4A 1T5,49.03254175,-122.8660563,"98,077","421,363","272,084","57,330","266,292",155,27,"1,426",357,64,"21,396",39,12,"1,765",19,16,537,"7,963","5,916",,"14,524",3,No,No,"1,366.00","3,422",346
Surrey Public Library,Port Kells Branch,BSUR007,36,(604) 502-6304,18885 - 88th Avenue,Surrey,BC,V3S 5X7,49.16305867,-122.6996606,"44,610","261,573","140,974","15,782","198,926",703,2,"10,131",199,19,"8,758",23,1,361,5,,35,"3,868","1,771",,"8,772",2,No,No,604,"3,422",346
Surrey Public Library,Semiahmoo Branch,BSUR008,36,(604) 598-7440,1815 - 152nd Street,Surrey,BC,V4A 9Y9,49.03508303,-122.8016624,"12,966","25,077","12,351","1,599","8,281",25,,149,96,2,735,1,0,14,0,0,0,,"1,694","1,694","1,241",1,No,No,111,"1,284",257
Surrey Public Library,Strawberry Hill Branch,BSUR009,36,(604) 592-6900,7399 - 122nd Street,Surrey,BC,V3W 5J2,49.13747132,-122.8852643,"104,224","525,713","318,509","46,995","421,408",221,3,"1,831",262,53,"13,421",35,3,"1,000",6,0,93,"6,385","4,963",,"13,577",3,Yes,Yes,"2,062.00","3,422",346
Taylor Public Library,Taylor Public Library,BTA001,36,(604) 501-5836,10008 - 104 Ave,Taylor,BC,V0C 2K0,56.153335,-120.683744,"66,560","322,346","214,594","35,620","267,917",153,6,928,310,25,"11,489",16,4,720,5,1,81,"4,360","4,657",,"11,360",3,No,No,"1,041.00","3,422",346
Terrace Public Library,Terrace Public Library,BTE001,60,(250) 789-9878,4610 Park Avenue,Terrace,BC,V8G 1V6,54.518129,-128.587312,9299,2365,1168,750,1832,27,1,81,31,3,252,23,2,6,0,0,0,0,0,1370,951,1,No,No,1664,1706,250
Thompson Nicola Regional Library,Ashcroft Branch,BKCT002,82,(250) 638-8177,201 Brink Street,Ashcroft,BC,V0K 1A0,50.72495627,-121.2811964,56799,115704,40672,15260,144277,36,72,767,80,11,5956,37,3,331,0,0,0,1820,1456,2570,19071,2,No,Yes,1350,3124,345
Thompson Nicola Regional Library,Barriere Branch,BKCT003,74,(250) 453-9042,4511 Barriere Town Road,Barriere,BC,V0E 1E0,51.17942674,-120.1254436,"14,399","29,084","4,632","6,171","11,255",136,10,"1,159",31,1,359,4,0,4,0,1,0,,,722,"1,079",1,No,No,334,"1,352",256
Thompson Nicola Regional Library,Blue River Branch,BKCT004,73,(250) 672-5811,829 Cedar Street,Blue River,BC,V0E 1J0,52.10511152,-119.3074181,"14,027","31,736","4,473","3,300","13,419",15,1,412,39,2,623,0,0,0,0,0,0,,,561,"1,242",1,No,No,313,"1,352",256
Thompson Nicola Regional Library,Cache Creek Branch,BKCT006,73,(250) 673-8235,1390 Quartz Road,Cache Creek,BC,V0K 1H0,50.80687621,-121.324933,"3,742","3,818",785,546,"1,590",15,0,62,29,0,243,26,0,63,0,0,0,,,,787,1,No,No,94,816,204
Thompson Nicola Regional Library,Chase Branch,BKCT007,n/a,1-855-552-2665,614 Shuswap Avenue,Chase,BC,V0E 1M0,50.818971,-119.690258,"9,954","28,902","8,099","6,382","7,640",,2,503,,,,,,,,,,,"1,532",,"2,125",0,No,Yes,0,641,180
Thompson Nicola Regional Library,Clearwater Branch,BKCT008,74,(250) 457-9953,422 Murtle Crescent,Clearwater,BC,V0E 1N0,51.6497,-120.038295,"8,169","11,795","2,150","3,426","6,042",67,0,344,9,0,65,0,0,0,0,0,0,,,,854,1,No,No,130,816,204
Thompson Nicola Regional Library,Clinton Branch,BKCT009,73,(250) 679-3331,1506 Tingley Street,Clinton,BC,V0K 1K0,51.09187533,-121.5836092,"13,276","36,343","8,076","11,181","15,674",51,1,225,76,0,794,2,0,11,1,0,6,,,685,"1,255",1,No,No,308,"1,560",256
Thompson Nicola Regional Library,Kamloops Branch,BKCT010,73,(250) 674-2543,100 - 465 Victoria Street,Kamloops,BC,V2C 2A9,50.67556777,-120.3302902,"15,287","43,885","10,564","3,596","14,121",78,0,"48,332",35,0,264,0,0,0,0,0,0,,,760,"1,366",1,No,No,284,"1,560",256
